Album,Artist,Genre,Label,Producer,Release Date,Meta Score
Zombies on Broadway,Andrew McMahon in the Wilderness,"['pop rock', 'pop']",['vanguard'],"['keith jeffery', 'robopop', 'ben romans', 'cj baran', 'jake sinclair', 'derek fuhrmann', 'jonny coffer', 'gregg wattenberg', 'tommy english']",Feb 10 2017,74.0
Blackfield V,Blackfield,"['pop rock', 'alternative rock', 'art rock']",['kscope'],"['steven wilson', 'aviv geffen', 'alan parsons']",Feb 10 2017,67.0
The Grinding Wheel,Overkill,"['pop rock', 'thrash metal']","['eone music', 'nuclear blast']",['overkill'],Feb 10 2017,71.0
Bury Me In Philly,Dave Hause,"['pop rock', 'alternative rock', 'americana', 'heartland rock', 'rock']","['rise', 'rise records']",,Feb 3 2017,77.0
Little Fictions,Elbow,"['pop rock', 'alternative rock']","['concord', 'polydor']",['craig potter'],Feb 3 2017,80.0
Process,Sampha,['electronic'],['young turks'],"['sampha', 'rodaidh mcdonald']",Feb 3 2017,86.0
Snowdonia,Surfer Blood,"['pop rock', 'indie rock', 'surf music']",['joyful noise'],,Feb 3 2017,67.0
After the Party,The Menzingers,"['punk', 'heartland rock', 'punk rock']",['epitaph'],['will yip'],Feb 3 2017,80.0
Heavy Fire,Black Star Riders,"['pop rock', 'hard rock']",['nuclear blast'],['nick raskulinecz'],Feb 3 2017,84.0
Crossover Ministry,Iron Reagan,"['pop rock', 'crossover thrash']","['relapse', 'relapse records']",['phil hall'],Feb 3 2017,72.0
Fresh Air,Homeshake,"['synth pop', 'pop rock', 'r&b']","['royal mountain', 'captured tracks', 'sinderlyn']",['peter sagar'],Feb 3 2017,76.0
I Decided.,Big Sean,"['hip hop', 'rap']","['def jam', 'good']","['key wane', 'allen ritter', 'wondagurl', 'hitmaka', 'cary singer', 'maximilian jaeger', 'kanye west', 'dj mustard', 'dj khalil', 'hey dj', 'amaire johnson', 'gregg rominiecki', 'big sean', 'sidney swift', 'francisgotheat', 'metro boomin', 'smash david', 'the track burnaz', 'detail', 'dj dahi', 'fuse', 'tre pounds', 'travis scott', 'robgotbeats']",Feb 3 2017,67.0
Fin,Syd,"['r&b', 'alternative r&b']",['columbia'],"['melo x', 'steve lacy', 'flip', 'anthony kilhoffer', 'hazebanga', 'nick green', 'j gramm', 'syd', 'rahki', 'hit boy']",Feb 3 2017,81.0
Scream Above the Sounds,Stereophonics,"['alternative rock', 'pop rock', 'rock', 'post britpop']","['warner music', 'stylus records', 'parlophone']","['kelly jones', 'jim lowe']",Oct 27 2017,57.0
Safe in Sound,Lower Than Atlantis,"['pop rock', 'rock']",['easy life records'],['dan lancaster'],Feb 3 2017,74.0
Not Even Happiness,Julie Byrne,"['pop rock', 'contemporary folk']","['ba da bing records', 'basin rock', 'ba da bing']",,Jan 13 2017,82.0
