tuple_id,genre
375,alternative indie rock
376,electro house
376,electronic
377,pop
378,electronic
378,r&b
378,pop
379,r&b
380,pop punk
380,pop rock
380,indie rock
381,dance pop
381,r&b
381,pop
382,pop rock
382,hardcore punk
382,metalcore
383,electronic
383,tropical house
384,pop rock
384,rock
385,pop rock
385,post hardcore
386,pop rock
386,heavy metal
387,hip hop
387,trap
387,rap
388,alternative
388,art rock
388,electronic
389,country
389,country rock
389,country blues
389,pop
390,digital hardcore
390,experimental hip hop
390,rap
391,hip hop
391,rap
392,pop rock
392,punk rock
393,experimental
393,pop rock
393,ambient
394,pop rock
394,electronic
394,experimental
394,synth pop
394,edm
395,electronic
396,electronic
396,electronic music
397,country
397,country pop
397,pop
398,jazz
399,soul
399,electronic
399,electronic pop
399,r&b
400,ambient
400,electronic
401,post britpop
401,indie rock
401,pop rock
401,alternative rock
401,soft rock
402,pop rock
402,hard rock
403,trap
403,blues
403,funk
403,gospel
403,country
403,r&b
403,pop
403,hip hop
403,rock
404,pop
405,hip hop
405,rap
406,shoegazing
406,experimental hip hop
406,industrial hip hop
406,rap
407,electronica
407,dubstep
407,r&b
407,pop
407,house
407,edm
408,r&b
408,alternative r&b
409,soundtrack
409,dark ambient
409,experimental rock
410,country
410,psychedelic rock
411,pop rock
411,rock
412,art pop
412,pop rock
412,indie pop
412,neo psychedelia
413,pop rock
413,rock
414,pop rock
414,latin rock
415,hip hop
415,rap
416,pop rock
416,britpop
417,new wave
417,electronic
418,indie rock
418,pop rock
418,funk rock
418,blues rock
418,garage rock
419,synth pop
419,new wave
419,dream pop
419,electronic
420,post metal
420,pop rock
420,alternative metal
420,experimental rock
421,pop rock
421,indie rock
422,electronic
423,folk rock
423,americana
423,country
423,indie folk
424,pop rock
424,alternative rock
424,blues rock
424,r&b
424,folk rock
424,rock
425,soul
425,r&b
426,pop rock
426,indie pop
427,pop rock
427,noise rock
428,pop rock
428,r&b
428,pop
429,folk
430,r&b
430,alternative r&b
431,electronic
432,pop rock
432,indie rock
433,synth pop
433,electronic
434,blues
434,pop rock
434,folk
435,na
435,experimental rock
436,pop rock
436,rock
